Age_Group,Gender,SIP_Amount
60+,Female,8702
46-60,Female,24762
60+,Male,24711
46-60,Male,4064
18-25,Male,17708
26-35,Male,23286
46-60,Female,8745
60+,Female,11862
36-45,Male,10606
26-35,Female,24196
18-25,Female,21760
26-35,Male,5175
36-45,Male,18524
26-35,Male,18102
60+,Female,14274
36-45,Male,17838
26-35,Male,4633
26-35,Female,14413
36-45,Female,10403
36-45,Male,13380
18-25,Female,17201
36-45,Female,2091
36-45,Male,1812
46-60,Female,20123
26-35,Male,18588
26-35,Male,13981
18-25,Female,21679
18-25,Female,9517
26-35,Female,13213
18-25,Male,4241
46-60,Male,16577
36-45,Male,10677
26-35,Male,1636
36-45,Male,7509
36-45,Male,1507
18-25,Female,22236
60+,Male,1071
18-25,Female,17161
60+,Female,18149
60+,Male,15359
18-25,Male,19636
18-25,Male,23237
46-60,Female,21695
36-45,Male,2928
26-35,Male,11796
26-35,Male,12301
18-25,Male,14788
18-25,Female,3842
46-60,Female,23911
46-60,Female,20039
36-45,Male,19780
60+,Male,1488
60+,Male,21063
26-35,Male,6126
26-35,Female,20482
36-45,Male,19940
36-45,Male,5890
26-35,Male,22063
26-35,Female,3880
18-25,Male,20517
36-45,Female,17843
26-35,Female,21357
36-45,Female,3724
18-25,Male,14047
26-35,Male,9708
18-25,Female,23528
26-35,Female,20672
18-25,Male,18273
60+,Female,6654
36-45,Female,21081
46-60,Female,4262
18-25,Male,20001
18-25,Male,16519
26-35,Female,24916
26-35,Male,12736
18-25,Female,24717
26-35,Male,23898
26-35,Female,3541
18-25,Female,18779
36-45,Female,2425
36-45,Male,1052
36-45,Female,3889
46-60,Male,2930
18-25,Female,1399
36-45,Female,1394
36-45,Male,4609
18-25,Male,10826
36-45,Male,18150
26-35,Female,20311
36-45,Female,2856
36-45,Male,20549
18-25,Female,5144
60+,Female,16502
18-25,Male,13232
18-25,Male,852
46-60,Male,14536
36-45,Female,9095
36-45,Female,3953
60+,Male,18596
26-35,Male,22515
36-45,Male,11671
26-35,Male,18278
26-35,Male,20598
36-45,Female,19842
26-35,Female,23779
36-45,Female,1025
60+,Male,12697
26-35,Male,2146
36-45,Male,3655
36-45,Male,2613
46-60,Male,14260
36-45,Male,13088
26-35,Male,19965
18-25,Male,6224
26-35,Female,9972
26-35,Male,23999
36-45,Male,6599
26-35,Male,19618
36-45,Male,4068
